{0 0.079408,1 4,2 -1}
{0 0.148435,1 11,2 -1}
{0 0.143696,1 43,2 -1}
{0 0.135458,1 18,2 -1}
{0 0.193575,1 48,2 -1}
{0 0.181958,1 52,2 -1}
{0 0.151414,1 10,2 -1}
{0 0.203926,1 26,2 -1}
{0 0.260353,1 19,2 -1}
{0 0.136305,1 18,2 -1}
{0 0.112244,1 7,2 -1}
{0 0.152948,1 45,2 -1}
{0 0.315214,1 31,2 -1}
{0 0.319335,1 41,2 -1}
{0 0.186927,1 39,2 -1}
{0 0.139929,1 22,2 -1}
{0 0.341031,1 29,2 -1}
{0 0.134514,1 30,2 -1}
{0 0.171777,1 46,2 -1}
{0 0.125612,1 39,2 -1}
{0 0.235074,1 57,2 -1}
{0 0.095241,1 25,2 -1}
{0 0.134497,1 32,2 -1}
{0 0.170546,1 34,2 -1}
{0 0.094435,1 11,2 -1}
{0 0.279883,1 42,2 -1}
{0 0.108903,1 38,2 -1}
{0 0.122407,1 22,2 -1}
{0 0.245656,1 49,2 -1}
{0 0.221866,1 21,2 -1}
{0 0.064551,1 9,2 -1}
{0 0.206409,1 53,2 -1}
{0 0.159793,1 44,2 -1}
{0 0.194236,1 30,2 -1}
{0 0.18058,1 27,2 -1}
{0 0.116411,1 36,2 -1}
{0 0.171634,1 31,2 -1}
{0 0.105877,1 5,2 -1}
{0 0.113166,1 8,2 -1}
{0 0.105877,1 6,2 -1}
{0 0.20664,1 34,2 -1}
{0 0.199484,1 46,2 -1}
{0 0.382918,1 21,2 -1}
{0 0.168379,1 2,2 -1}
{0 0.16544,1 3,2 -1}
{0 0.03123,1 1,2 -1}
{2 -1}
{0 0.076412,1 2,2 -1}
{0 0.017708,1 2,2 -1}
{0 0.174071,1 2,2 -1}
{2 -1}
{0 0.267529,1 3,2 -1}
{0 0.087039,1 1,2 -1}
{0 0.138638,1 2,2 -1}
{0 0.241594,1 2,2 -1}
{0 0.201501,1 3,2 -1}
{0 0.090069,1 3,2 -1}
{0 0.146478,1 4,2 -1}
{0 0.316007,1 3,2 -1}
{0 0.154303,1 1,2 -1}
{2 -1}
{0 0.121991,1 2,2 -1}
{2 -1}
{0 0.104998,1 3,2 -1}
{0 0.162162,1 3,2 -1}
{0 0.125501,1 2,2 -1}
{0 0.154862,1 3,2 -1}
{0 0.067936,1 3,2 -1}
{0 0.114298,1 2,2 -1}
{0 0.096302,1 3,2 -1}
{0 0.116152,1 2,2 -1}
{0 0.014607,1 3,2 -1}
{0 0.095316,1 3,2 -1}
{0 0.10614,1 2,2 -1}
{0 0.133132,1 4,2 -1}
{0 0.144338,1 1,2 -1}
{0 0.220686,1 3,2 -1}
{0 0.119757,1 2,2 -1}
{0 0.111571,1 2,2 -1}
{0 0.15097,1 2,2 -1}
{0 0.07257,1 3,2 -1}
{2 -1}
{0 0.02894,1 1,2 -1}
{0 0.08645,1 3,2 -1}
{0 0.040125,1 3,2 -1}
{0 0.129862,1 3,2 -1}
{0 0.072384,1 3,2 -1}
{0 0.23152,1 1,2 -1}
{0 0.106047,1 2,2 -1}
{0 0.205934,1 2,2 -1}
{0 0.0274,1 1,2 -1}
{0 0.19245,1 1,2 -1}
{0 0.092806,1 4,2 -1}
{0 0.254591,1 3,2 -1}
{0 0.199247,1 2,2 -1}
{0 0.087568,1 3,2 -1}
{0 0.07653,1 2,2 -1}
{0 0.251801,1 2,2 -1}
{0 0.150669,1 2,2 -1}
{0 0.103048,1 2,2 -1}
{0 0.045258,1 3,2 -1}
{0 0.13894,1 4,2 -1}
{0 0.029119,1 2,2 -1}
{0 0.037637,1 3,2 -1}
{0 0.086547,1 2,2 -1}
{2 -1}
{0 0.179527,1 3,2 -1}
{0 0.083758,1 3,2 -1}
{0 0.048708,1 1,2 -1}
{0 0.180341,1 3,2 -1}
{0 0.116311,1 2,2 -1}
{2 -1}
{0 0.170407,1 4,2 -1}
{0 0.068372,1 2,2 -1}
{0 0.091604,1 2,2 -1}
{0 0.122407,1 2,2 -1}
{0 0.09573,1 2,2 -1}
