@relation SiftFeature
@attribute 0 NUMERIC
@attribute 1 NUMERIC
@attribute 'Class' {'+1','-1'}
@data
{0 0.01681206597847716,1 1,2 -1}
{0 0.005215128291647904,1 1,2 -1}
{0 0.056213643067195965,1 2,2 -1}
{0 0.0,1 0,2 -1}
{0 0.1158674158208603,1 2,2 -1}
{0 0.0107461671563075,1 3,2 -1}
{0 0.021091227030479887,1 1,2 -1}
{0 0.08980356371152008,1 2,2 -1}
{0 0.08058229640253801,1 1,2 -1}
{0 0.0,1 0,2 -1}
{0 0.09066831387967186,1 2,2 -1}
{0 0.030405955285481772,1 1,2 -1}
{0 0.03794096088399699,1 2,2 -1}
{0 0.03533571355736591,1 1,2 -1}
{0 0.0023029007182868207,1 1,2 -1}
{0 0.031778519895527685,1 2,2 -1}
{0 0.0,1 0,2 -1}
{0 0.03483665071458088,1 1,2 -1}
{0 0.0,1 0,2 -1}
{0 0.03651904536531724,1 2,2 -1}
{0 0.03541276742376091,1 3,2 -1}
{0 0.24470439211619816,1 2,2 -1}
{0 0.1127113889926168,1 5,2 -1}
{0 0.1291188263349535,1 5,2 -1}
{0 0.17429445777719957,1 3,2 -1}
{0 0.08333333333333333,1 1,2 -1}
{0 0.11198865732661314,1 3,2 -1}
{0 0.08179035628423259,1 4,2 -1}
{0 0.13295288181589854,1 4,2 -1}
{0 0.04103049699311091,1 1,2 -1}
{0 0.24954235660745017,1 5,2 +1}
{0 0.050251890762960605,1 1,2 -1}
{0 0.10829316586055886,1 3,2 -1}
{0 0.0348710520643961,1 2,2 -1}
{0 0.1670631180793406,1 5,2 -1}
{0 0.1311344883635091,1 4,2 -1}
{0 0.10361640860616564,1 5,2 -1}
{0 0.22286232979972936,1 5,2 -1}
{0 0.0890870806374748,1 1,2 -1}
{0 0.14359163172354764,1 3,2 -1}
{0 0.13564622509750943,1 5,2 -1}
{0 0.0,1 0,2 -1}
{0 0.17842581299883764,1 5,2 -1}
{0 0.20695933859617893,1 3,2 -1}
{0 0.2250008079618355,1 5,2 -1}
{0 0.2676253174969155,1 5,2 -1}
{0 0.14144503086429505,1 5,2 -1}
{0 0.1285070867299666,1 5,2 -1}
{0 0.14297084883297692,1 5,2 -1}
{0 0.10674940319789036,1 5,2 -1}
{0 0.3317172774240367,1 4,2 -1}
{0 0.07001274879519273,1 5,2 -1}
{0 0.13163811849526166,1 5,2 -1}
{0 0.17181363052393137,1 5,2 -1}
{0 0.0,1 0,2 -1}
{0 0.2105753902303453,1 5,2 -1}
{0 0.14044414010296896,1 5,2 -1}
{0 0.21625258172027897,1 6,2 -1}
{0 0.06537204504606134,1 2,2 -1}
{0 0.17424342071026455,1 5,2 -1}
{0 0.0,1 0,2 -1}
{0 0.2339188633213066,1 3,2 -1}
{0 0.09506996097549884,1 5,2 -1}
{0 0.15752900449576723,1 4,2 -1}
{0 0.13145088996838106,1 5,2 -1}
{0 0.13282312202901267,1 5,2 -1}
{0 0.08354245118618092,1 1,2 -1}
{0 0.16531163063339516,1 3,2 -1}
{0 0.1307856687511773,1 3,2 -1}
{0 0.15819299929208316,1 3,2 -1}
{0 0.055555555555555566,1 1,2 -1}
{0 0.11593089477221588,1 5,2 -1}
{0 0.20535081244621445,1 5,2 -1}
{0 0.16795194633295793,1 5,2 -1}
{0 0.15783859914573667,1 5,2 -1}
{0 0.1351529533362245,1 2,2 -1}
{0 0.32028419162785055,1 4,2 -1}
{0 0.03866180022552881,1 4,2 -1}
{0 0.13468091767478696,1 5,2 -1}
{0 0.09111974705193328,1 5,2 -1}
{0 0.2113724616156175,1 6,2 -1}
{0 0.03362413195695433,1 3,2 -1}
{0 0.18774461849932456,1 4,2 -1}
{0 0.13584963741239028,1 5,2 -1}
{0 0.08219949365267865,1 1,2 -1}
